suite_id,lane_id,method,example,readiness_status,source_policy_closed,ready_to_launch_after_explicit_opt_in,source_policy_1e_4_opt_in_required,current_claim_requires_source_policy_execution,demotion_audit,post_execution_decision,primary_promotion_blocker,promotion_evidence_ref,command_refs
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA,single_pendulum,selected_candidate_executed_not_promoted,False,True,False,True,,not_promoted,hi2022_selected_coarse_trio_not_full_public_grid_not_promoted,HI2022_SOURCE_POLICY_ROW_AUDIT.json,hi2022_selected_t8_rA_single_pendulum
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA,double_pendulum,selected_candidate_executed_not_promoted,False,True,False,True,,not_promoted,hi2022_selected_coarse_trio_not_full_public_grid_not_promoted,HI2022_SOURCE_POLICY_ROW_AUDIT.json,hi2022_selected_t8_rA_double_pendulum
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA,four_link,selected_candidate_executed_not_promoted,False,True,False,True,,not_promoted,hi2022_selected_coarse_trio_not_full_public_grid_not_promoted,HI2022_SOURCE_POLICY_ROW_AUDIT.json,hi2022_selected_t8_rA_four_link
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA,slider_crank,selected_candidate_executed_not_promoted,False,True,False,True,,not_promoted,hi2022_selected_coarse_trio_not_full_public_grid_not_promoted,HI2022_SOURCE_POLICY_ROW_AUDIT.json,hi2022_selected_t8_rA_slider_crank
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA_half,single_pendulum,selected_candidate_executed_not_promoted,False,True,False,True,,not_promoted,hi2022_selected_coarse_trio_not_full_public_grid_not_promoted,HI2022_SOURCE_POLICY_ROW_AUDIT.json,hi2022_selected_t8_rA_half_single_pendulum
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA_half,double_pendulum,selected_candidate_partial_or_failed_not_promoted,False,True,False,True,,not_promoted,hi2022_ra_half_double_partial_newton_failure_not_promoted,HI2022_RA_HALF_DOUBLE_SOURCE_POLICY_FAILURE_DIAGNOSIS.json,hi2022_selected_t8_rA_half_double_pendulum
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA_half,four_link,selected_candidate_executed_not_promoted,False,True,False,True,,not_promoted,hi2022_selected_coarse_trio_not_full_public_grid_not_promoted,HI2022_SOURCE_POLICY_ROW_AUDIT.json,hi2022_selected_t8_rA_half_four_link
hi2022_half_implicit,hi2022_full_T8_work_precision,hi2022_rA_half,slider_crank,selected_candidate_executed_not_promoted,False,True,False,True,,not_promoted,hi2022_selected_coarse_trio_not_full_public_grid_not_promoted,HI2022_SOURCE_POLICY_ROW_AUDIT.json,hi2022_selected_t8_rA_half_slider_crank
ra2021_absolute_coordinate,ra2021_source_policy_work_precision,ra2021_rA,single_pendulum,approved_driver_outputs_present_not_promoted,False,True,True,True,,not_promoted,ra2021_single_floor_limited_public_h_tranche_not_promoted,RA2021_SOURCE_POLICY_ROW_AUDIT.json,ra2021_public_timing_all_forms_models|gauss6_public_single_source_policy_trio
ra2021_absolute_coordinate,ra2021_source_policy_work_precision,ra2021_rA,double_pendulum,approved_driver_outputs_present_not_promoted,False,True,True,True,,not_promoted,ra2021_double_low_order_floor_limited_constraint_not_promoted,RA2021_DOUBLE_SOURCE_POLICY_LOW_ORDER_DIAGNOSIS.json,ra2021_public_timing_all_forms_models|ra2021_double_order_all_forms
